TentRepDisp(cm), TentRepAcc(g)
6.012082833671600693e-03,-1.436688621753238722e-03
5.974833009287614655e-03,-1.527917673263562686e-03
6.104858510577882390e-03,-1.529837650904848504e-03
6.391261640264920586e-03,-1.461626430917467882e-03
6.817172201103637030e-03,-1.344103162948693739e-03
7.360243820082434940e-03,-1.176918422144717508e-03
7.992384071592216477e-03,-9.539973461355007352e-04
8.680757756145573989e-03,-6.792930170256336999e-04
9.389001782018633127e-03,-3.597357929433844803e-04
1.007916158430365028e-02,-1.287265009634189282e-05
1.071413958327054571e-02,3.371779179011005333e-04
1.125879923515724600e-02,6.777194495513991657e-04
1.168119636360250360e-02,9.943817304650121730e-04
1.195539633446365997e-02,1.259606063427408645e-03
1.206429012823756822e-02,1.446520733872570319e-03
1.200247724862500524e-02,1.527274803773571695e-03
1.177819122985046194e-02,1.482901252480985999e-03
1.141170420307733267e-02,1.327024603968163024e-03
1.093213877600381252e-02,1.088362338483472641e-03
1.037450721430314277e-02,7.936518164611556635e-04
9.776483391888385333e-03,4.724832676212682410e-04
9.176182958904070472e-03,1.468705081949358486e-04
8.610571949790883986e-03,-1.667052478314115993e-04
8.112612788704896480e-03,-4.415946714841638052e-04
7.708888513763608591e-03,-6.558194170738537287e-04
7.419095481063977399e-03,-8.055401783580520576e-04
7.256104355355368594e-03,-8.934388455987280625e-04
7.227145219414645230e-03,-9.305601723068820681e-04
7.334971089004272728e-03,-9.285877072307715911e-04
7.576291703447296695e-03,-8.796002337886977326e-04
7.939664413293755912e-03,-7.712346517599602200e-04
8.404611854737070384e-03,-6.001677744676812585e-04
8.941374984611231286e-03,-3.671495218784553722e-04
9.512906501750658175e-03,-8.659310518246401880e-05
1.007830268070648155e-02,2.182276006864003427e-04
1.059472420024363398e-02,5.338887127123479555e-04
1.101980190449626355e-02,8.441823827154837237e-04
1.131644304919451373e-02,1.118107420183368913e-03
1.145758959654993511e-02,1.324874536791878932e-03
1.143072723027975870e-02,1.434889836682560864e-03
1.124106501422777495e-02,1.426906828381639897e-03
1.090965792277315272e-02,1.310809754147585328e-03
1.046888466926285295e-02,1.112768555387669538e-03
9.958966558605231167e-03,8.539880668824747882e-04
9.423745370538846866e-03,5.601884295185696749e-04
8.905447135707697179e-03,2.615422492704953285e-04
8.440037362966598677e-03,-1.518766770001599327e-05
8.051934468440446330e-03,-2.389231390199954286e-04
7.750045849348726444e-03,-3.853270501428278025e-04
7.529130781028123449e-03,-4.581379816262630845e-04
7.373732719461524240e-03,-4.747367316667197405e-04
7.261595050646402899e-03,-4.501963830012042488e-04
7.167748802414421194e-03,-4.033838899435296735e-04
7.068474521146993553e-03,-3.530193707778142564e-04
6.944413807778103062e-03,-3.136141238887116636e-04
6.784661327544351875e-03,-3.044416411703404751e-04
6.589772301466977067e-03,-3.396055151303236904e-04
6.370362009888099961e-03,-4.106920695343993337e-04
6.143741650349017133e-03,-4.992729088000124986e-04
5.930700015736188081e-03,-5.895681331184933916e-04
5.751836566429727529e-03,-6.634510236957457925e-04
5.624825338392721794e-03,-7.051625543927104046e-04
5.562594831249751022e-03,-7.038487182190998354e-04
5.570438721398502172e-03,-6.436530146034986390e-04
5.643969317163377575e-03,-5.146091457003629807e-04
5.770229675165235335e-03,-3.286888695768135993e-04
5.930080456021177317e-03,-1.069290601252075393e-04
6.101015524894060939e-03,1.290815365620344337e-04
6.260198091847573622e-03,3.562757867180201834e-04
6.385741855271634231e-03,5.611031353042295966e-04
6.457194707735972559e-03,7.355189869976757559e-04
6.457108169423723780e-03,8.640839834065218786e-04
6.372296784211543309e-03,9.352049585748566703e-04
6.194163668174994426e-03,9.493495519073449603e-04
5.918820934917849719e-03,9.110048779576565342e-04
5.546119520892872634e-03,8.322886998095329518e-04
5.078712267476438551e-03,7.255334584976048939e-04
4.523229666277955689e-03,5.864302920141595786e-04
3.891834444174610119e-03,4.071661637410784601e-04
3.203079036100554139e-03,1.868188744474068449e-04
2.482241074663506328e-03,-7.232314161573899763e-05
1.759558659907407407e-03,-3.550332067364505911e-04
1.067315933078715308e-03,-6.385011678729352567e-04
4.380669884082680232e-04,-9.100598722209557890e-04
-9.743918761232450677e-05,-1.154946208802439325e-03
-5.135566771575693574e-04,-1.345931311066382802e-03
-7.928053379750071893e-04,-1.457033432657145510e-03
-9.291451006577175487e-04,-1.462296007941083853e-03
-9.302289662082935612e-04,-1.344554912083753551e-03
-8.158006079791536641e-04,-1.118867527771866309e-03
-6.142834643057926798e-04,-8.159323567837881760e-04
-3.597135562299579839e-04,-4.625113583179712995e-04
-8.828054435188652585e-05,-8.896560116372395741e-05
1.645831636265403426e-04,2.761566714447834031e-04
3.664552999422707961e-04,6.093161472562547620e-04
4.912016735586224262e-04,8.794080096047803300e-04
5.215451782368107220e-04,1.062042471574136315e-03
4.488881052055290104e-04,1.158506649107047095e-03
2.720306969208611723e-04,1.181238887273901306e-03
-4.710662736007512324e-06,1.146681358194536838e-03
-3.735692936557170126e-04,1.073599191575004075e-03
-8.235652877486337922e-04,9.683898890908954711e-04
-1.340125280300952758e-03,8.325716380755691015e-04
-1.905778928889705938e-03,6.758636278434120969e-04
-2.500922461921161084e-03,5.076761102061280598e-04
-3.104699725725759262e-03,3.344722242713780991e-04
-3.696213869204604402e-03,1.629359101055918933e-04
-4.254770927949412355e-03,-6.284867546074376660e-06
-4.760294619025764659e-03,-1.720906430224913332e-04
-5.195596593663556924e-03,-3.221966452233859671e-04
-5.548884010867143578e-03,-4.422895365217184983e-04
-5.815774563598544687e-03,-5.209350403648951681e-04
-6.000680808737121098e-03,-5.499855133980417581e-04
-6.115804709172099375e-03,-5.333512767674976427e-04
-6.178771921560690175e-03,-4.817590541828258759e-04
-6.211075483522022697e-03,-4.024851837751434926e-04
-6.236107747729331859e-03,-3.047069954214532382e-04
-6.276026338571540249e-03,-2.020053827870060055e-04
-6.348781999035683563e-03,-1.073190050240732055e-04
-6.465067974356001820e-03,-3.478460504307900403e-05
-6.626065160464804198e-03,4.485981471408575800e-06
-6.824388359672051499e-03,1.223317721578490993e-05
-7.046681849408983206e-03,-3.279669177746113648e-06
-7.275625084118398853e-03,-3.534283298013197495e-05
-7.492405526688610852e-03,-7.546550731508360193e-05
-7.679774525452797047e-03,-1.139489351205002132e-04
-7.824695887732780950e-03,-1.427018530242201767e-04
-7.921327948492174267e-03,-1.522428759783078182e-04
-7.973183331592786222e-03,-1.355062479290580616e-04
-7.991983757502237398e-03,-9.592457680073672921e-05
-7.994895034272218870e-03,-4.210489775896718496e-05
-8.002221342855726782e-03,1.931706032370046009e-05
-8.034660995876489673e-03,8.015854623291313627e-05
-8.110361952137471256e-03,1.304629624306683899e-04
-8.242511070693984629e-03,1.619731000165107416e-04
-8.436454109188838008e-03,1.652910780127463553e-04
-8.687658261208246885e-03,1.341360595469357191e-04
-8.982911520421296009e-03,7.464149962488662122e-05
-9.303050486630494789e-03,-1.287682993041669791e-06
-9.625470047945604637e-03,-8.389114995411339000e-05
-9.927015850777346981e-03,-1.619922971045593149e-04
-1.018658735433268514e-02,-2.245247846012492395e-04
-1.038715317318513430e-02,-2.628599629913597213e-04
-1.051836935176768059e-02,-2.656441983759311263e-04
-1.057848711660063640e-02,-2.252485730382852757e-04
-1.057366668406535537e-02,-1.476120059891517563e-04
-1.051609125096172881e-02,-4.452122456977223187e-05
-1.042189771257387605e-02,7.151471816282359588e-05
-1.030881910260122471e-02,1.870143533525597183e-04
-1.019452110151927195e-02,2.941904207854543324e-04
-1.009542448221586140e-02,3.882927427232768037e-04
-1.002502533584033982e-02,4.605288548521181084e-04
-9.992556639993483217e-03,5.039565211767060241e-04
-1.000280633409393952e-02,5.170495217065009192e-04
-1.005651888495052992e-02,5.003687995013405155e-04
-1.015116636501543074e-02,4.592027294838218988e-04
-1.028191290545542140e-02,3.991392273249635015e-04
-1.044226524404425968e-02,3.182268080872076754e-04
-1.062456217797531736e-02,2.132646279604953534e-04
-1.082045052290675317e-02,8.284634987593375273e-05
-1.102136201557141378e-02,-7.216428729257602268e-05
-1.121901069149832189e-02,-2.418476358347556459e-04
-1.140571631225312244e-02,-4.123638753155021096e-04
-1.157483606920771922e-02,-5.735015201506853512e-04
